ClassID,Duplicate,OverBuff,Lv,GroupIndex,ApplyTime,UpdateTime,BlendIn,BlendOut,EnterParticleScale,LeaveParticleScale,ParticleScale,ParticleRemoveBlendTime,Shadow,BodySize,ElapsedTime,EscHitCount,HitCount,ChangeDefLayer,Range,Value,DMG,hitType,SplRange,SplHeight,SplAngle,SplLimit,AddBuffFreq,AddBuffTime,ClassName,Name,ShowIcon,Icon,SlotType,UpdateProp,Animation,Desc,ToolTip,Group1,Group2,AddCheckScp,Attribute,UserRemove,Save,LinkBuff,DeadRemove,RemoveLock,Exclusive,HoldMove,HoldRotate,HoldSkill,HoldItem,HoldCancel,IgnoreTargetting,IgnoreNormalHit,IgnorePhysicalSkill,IgnoreMagicalSkill,Invisible,DefenceSCP,TakeDamageSCP,GiveDamageSCP,MoveSCP,UseSkillSCP,Loop,Freeze,Position,FixedScale,EnterParticle,LeaveParticle,Particle,EmitterLoop,Emoticon,BodyColor,Vibrate,ClientScp,HideMon,HidePC,Detected,Pause,Blind,Sound,WeaponTrail,Polymorph,TargetParticle,DMGType,Tooltip_Attr,TooltipType,SplType,OnEnemy,OnFriend,OnNeutral,AddBuffName,DeadParts,DeadSlice,ApplyType,ShowTextEffect,Keyword
28672,0,0,0,28672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GELE574_MQ_04_BOSS,자연 치유력,,state_crazy,slot_ability,ALL,,Provoke,담수의 효과로 네펜더스의 체력이 빠르게 차오릅니다,Buff,Normal,,,NO,NO,NO,YES,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
29696,0,0,0,29696,24576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOB_WUGU4_1,신경독,,state_crazy,slot_ability,ALL,,Provoke,몬스터의 체내에서 합성독이 만들어지고 있습니다!,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,YES,Normal
30720,0,0,0,30720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOB_SCOUT4_1,발각당함,,state_crazy,slot_ability,ALL,,Provoke,섬광탄에 의해 발각되었습니다. 하지만 곧 도망치겠죠!,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
31744,0,0,0,31744,16384,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOB_ROGUE4_1,혼란,,state_crazy,slot_ability,ALL,,Provoke,연막탄에 맞아서 혼란상태에 빠졌습니다,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,YES,Normal
32768,0,0,0,32768,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOB_SQUIRE4_1,포박당함,,state_crazy,slot_ability,ALL,,Provoke,포승줄에 걸렸습니다!,Buff,Normal,,,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
33792,0,0,0,33792,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_GELE_START,로무바 ,,state_crazy,slot_ability,ALL,,Provoke,마족들에게 20%추가 피해를 입힙니다!,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,YES,Normal
34816,0,0,0,34816,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_GELE_MAGI,마기 감염,,state_crazy,slot_ability,ALL,,Provoke,이 몬스터는 마기에 감염되었습니다!,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,YES,Normal
35840,0,0,0,35840,47616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REQ_SEMPLE_04,흩어진 계단 단체 버프,,state_crazy,slot_ability,ALL,,Provoke,공격력이 +150 증가합니다,Buff,Normal,,,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
36864,0,0,0,36864,47616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REQ_SEMPLE_05,적갈나무 단층 숲 단체 버프,,state_crazy,slot_ability,ALL,,Provoke,방어력이 +100 증가합니다,Buff,Normal,,,YES,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
37888,0,0,0,37888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DialogSafe,중립,,talking,slot_ability,ALL,,Provoke,중립 상태,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
38912,0,0,0,38912,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOB_ROGUE4_1_BUFF,연막탄,,state_stop,slot_ability,ALL,,Provoke,빛의 안개가 마족들로부터 사용자를 숨겨줍니다,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,YES,YES,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
39936,0,0,0,39936,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JOB_ROGUE4_1_DEBUFF,연막탄,,state_stop,slot_ability,ALL,,Provoke,빛의 안개가 마족들로부터 사용자를 숨겨줍니다,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,YES,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
40960,0,0,0,40960,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHAPLE577_MQ_08,위험신호!,FALSE,state_stop,slot_ability,ALL,,Provoke,제스티가 근처에 있습니다!,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
41984,0,0,0,41984,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GELE573_MQ_04,신성화,,light_attribute,slot_ability,ALL,DOWN,Provoke,결계의 힘에 의해 영혼이 분리된 상태입니다!,Buff,Normal,,,NO,NO,NO,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
43008,0,0,0,43008,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GELE573_MQ_04_HOLY,신성화,,recovery_up,slot_ability,ALL,,Provoke,결계가 충전 중입니다!,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
44032,0,0,0,44032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,THORN20_MQ_DEBUFF,탁기 중독,,state_stun,slot_ability,ALL,,Provoke,소환 수정에 흘러 나오는 탁한 기운에 중독됐습니다. ,Debuff,Normal,,,YES,NO,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,E_buff_Stun,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
45056,0,0,0,45056,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GELE574_MQ_05,세뇌,,state_curse,slot_ability,ALL,,Provoke,세뇌가 진행 중입니다,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
46080,0,0,0,46080,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GELE574_MQ_06,세뇌,,state_curse,slot_ability,ALL,,Provoke,세뇌가 진행 중입니다,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
47104,0,0,0,47104,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GELE574_MQ_06_1,세뇌,,state_curse,slot_ability,ALL,,Provoke,세뇌가 진행 중입니다,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
48128,0,0,0,48128,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHAPLE575_MQ_06,로무바 성수,,state_curse,slot_ability,ALL,,Provoke,로무바 성수의 효과 : 마족에게 발각당하지 않음,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
49152,0,0,0,49152,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHAPLE575_MQ_06_BOMB,성령폭탄,FALSE,state_curse,slot_ability,ALL,,Provoke,성령폭탄 부착됨,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
50176,0,0,0,50176,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COMMON_BUFF_DEAD,공용사망,FALSE,state_curse,slot_ability,ALL,,Provoke,공용사망,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
51200,0,0,0,51200,20480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHAPLE575_MQ_07,성령 결박,,state_curse,slot_ability,ALL,,Provoke,이 마족은 성령석에게 생명력을 흡수당하고 있습니다!,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
52224,0,0,0,52224,20480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHAPLE575_MQ_07_01,성령 결박,FALSE,state_curse,slot_ability,ALL,,Provoke,결박되었습니다!,Buff,Normal,,,NO,NO,NO,YES,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
53248,0,0,0,53248,20480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HUEVILLAGE_58_2_SQ02_BUFF,불길한 기운,,state_crazy,slot_ability,ALL,,Provoke,공격적인 성향을 보입니다,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
54272,0,0,0,54272,20480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHAPLE577_HOLY_2,말다 제단의 기운,,state_crazy,slot_ability,ALL,,Provoke,말다 제단의 기운이 마족 몬스터를 감싸고 있습니다!,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
55296,0,0,0,55296,20480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHAPLE576_MQ_06,자신감,,Str_up,slot_ability,ALL,,Provoke,마족을 상대하기 수월해 졌습니다,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
56320,0,0,0,56320,20480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHAPLE576_MQ_08,글로제자스의 힘,,attack_blessing_up,slot_ability,ALL,,Provoke,마족을 개종시킬 수 있습니다!,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,SCR_BUFF_TAKEDMG_CHAPLE576_MQ_08,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
57344,0,0,0,57344,20480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHAPLE576_MQ_06_1,눈속임,,light_attribute,slot_ability,ALL,,Provoke,눈속임,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,F_wizard_summondemon_shot_light,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
58368,0,0,0,58368,20480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HUEVILLAGE_58_3_MQ04_BUFF,나른초 향기,,move_down,slot_ability,ALL,,Provoke,나른초의 향기에 몸이 나른해져 이동속도가 감소합니다.,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
59392,0,0,0,59392,20480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REMAIN37_MQ05,탄화 중,,move_down,slot_ability,ALL,,Provoke,불에 타고 있습니다!,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
60416,0,0,0,60416,20480,16384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REMAIN37_SQ03_ITEM_02,수액 흘림,,move_down,slot_ability,ALL,,Provoke,수액을 채취 당하는 중입니다,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
61440,0,0,0,61440,20480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REMAIN38_MQ03,불타는 중,,move_down,slot_ability,ALL,,Provoke,불타는 중입니다!,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
62464,0,0,0,62464,20480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REMAIN38_SQ03,정신지배(리자드맨),,move_down,slot_ability,ALL,,Provoke,이 리자드맨은 정신지배 당했습니다.,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
63488,0,0,0,63488,20480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,REMAIN38_SQ04,정신지배(인프로버크),,move_down,slot_ability,ALL,,Provoke,이 인프로버크는 정신지배 당했습니다.,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
64512,0,0,0,64512,20480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FLASH59_SQ_12,향나는 돌가루,,move_down,slot_ability,ALL,,Provoke,향나는 돌가루가 묻어있습니다.,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
0,0,0,0,0,20480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIAULIAI_46_4_MQ_02_BUFF,달콤한 향기,,Parry,slot_ability,ALL,,Provoke,달콤한 향기가 납니다.,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
1024,0,0,0,1024,20480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIAULIAI_46_3_MQ_01_BUFF,벌통조각의 냄새,,Parry,slot_ability,ALL,,Provoke,달콤한 벌통조각의 냄새를 맡았습니다.,Buff,Normal,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
2048,0,0,0,2048,20480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DRT_FREEZ_BUFF,연출용 석화 버프,FALSE,Parry,slot_ability,,,Provoke,연출용 석화 버프,Debuff,Solid,,,NO,NO,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,,,,,,NO,YES,,NO,,,,NO,,,,,NO,,,YES,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
3072,0,0,0,3072,20480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DRT_KILLING_WAIT,연출용 사망 정지,FALSE,Parry,slot_ability,,,Provoke,연출용 사망 정지,Debuff,Solid,,,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,,,,,,NO,NO,,NO,,,,NO,,,,,NO,,,YES,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
4096,0,0,0,4096,20480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHATHEDRAL56_MQ07_DEBUFF,결계 촛대의 보호막 작동,,Parry,slot_ability,,,Provoke,결계 촛대의 보호막 작동,Debuff,Solid,,,NO,NO,NO,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,,,,,,NO,YES,,NO,,,,NO,,,,,NO,,,YES,,,,,,,,Buff,,NO,NO,NO,,,,Body,NO,Normal
