ClassID,UnlockGrade,LevelPerGrade,MaxLevel,ClassName,Type,SkillName
22528,0,0,0,Char1_9_2,Skill,Doppelsoeldner_DeedsOfValor
23552,0,0,0,Char1_9_3,Skill,Doppelsoeldner_PainBarrier
24576,0,0,0,Char1_9_4,Skill,Doppelsoeldner_Mordschlag
25600,0,0,0,Char1_9_5,Skill,Doppelsoeldner_Double_pay_earn
26624,0,0,0,Char1_9_6,Skill,Doppelsoeldner_Cyclone
58368,0,0,0,Char1_10_1,Skill,Rodelero_ShieldCharge
59392,0,0,0,Char1_10_2,Skill,Rodelero_Montano
60416,0,0,0,Char1_10_3,Skill,Rodelero_TargeSmash
61440,0,0,0,Char1_10_4,Skill,Rodelero_ShieldPush
29696,0,0,0,Char1_11_1,Skill,Squire_Arrest
30720,0,0,0,Char1_11_2,Skill,Squire_Repair
31744,0,0,0,Char1_11_3,Skill,Squire_WeaponTouchUp
32768,0,0,0,Char1_11_4,Skill,Squire_ArmorTouchUp
1024,0,0,0,Char1_12_1,Skill,Murmillo_ChangeStance
2048,0,0,0,Char1_12_2,Skill,Murmillo_skill_1
37888,0,0,0,Char1_13_1,Skill,Ninja_Ninja1
2560,0,0,0,Char2_1_1,Skill,Wizard_EnergyBolt
3072,0,0,0,Char2_1_2,Skill,Wizard_Lethargy
3584,0,0,0,Char2_1_3,Skill,Wizard_Sleep
4096,0,0,0,Char2_1_4,Skill,Wizard_ReflectShield
4608,0,0,0,Char2_1_5,Skill,Wizard_EarthQuake
5120,0,0,0,Char2_1_6,Skill,Wizard_Surespell
5632,0,0,0,Char2_1_7,Skill,Wizard_MagicMissile
6144,0,0,0,Char2_1_8,Skill,Wizard_QuickCast
53760,0,0,0,Char2_2_1,Skill,Pyromancer_FireBall
54272,0,0,0,Char2_2_2,Skill,Pyromancer_FireWall
54784,0,0,0,Char2_2_3,Skill,Pyromancer_EnchantFire
55296,0,0,0,Char2_2_4,Skill,Pyromancer_Flare
55808,0,0,0,Char2_2_5,Skill,Pyromancer_FirePillar
56320,0,0,0,Char2_2_6,Skill,Pyromancer_HellBreath
39424,0,0,0,Char2_3_1,Skill,Cryomancer_IceBolt
39936,0,0,0,Char2_3_2,Skill,Cryomancer_IciclePike
40448,0,0,0,Char2_3_3,Skill,Cryomancer_IceWall
40960,0,0,0,Char2_3_4,Skill,Cryomancer_IceBlast
41472,0,0,0,Char2_3_5,Skill,Cryomancer_SubzeroShield
41984,0,0,0,Char2_3_6,Skill,Cryomancer_Gust
25088,0,0,0,Char2_4_1,Skill,Psychokino_PsychicPressure
25600,0,0,0,Char2_4_2,Skill,Psychokino_Telekinesis
26112,0,0,0,Char2_4_3,Skill,Psychokino_Swap
26624,0,0,0,Char2_4_4,Skill,Psychokino_Teleportation
27136,0,0,0,Char2_4_5,Skill,Psychokino_MagneticForce
27648,0,0,0,Char2_4_6,Skill,Psychokino_Raise
28160,0,0,0,Char2_4_7,Skill,Psychokino_GravityPole
10752,0,0,0,Char2_5_1,Skill,Alchemist_Combustion
11264,0,0,0,Char2_5_2,Skill,Alchemist_Dig
11776,0,0,0,Char2_5_3,Skill,Alchemist_Roasting
12288,0,0,0,Char2_5_4,Skill,Alchemist_Briquetting
12800,0,0,0,Char2_5_5,Skill,Alchemist_Tincturing
13312,0,0,0,Char2_5_6,Skill,Alchemist_MagnumOpus
61952,0,0,0,Char2_6_1,Skill,Sorcerer_Summoning
62464,0,0,0,Char2_6_2,Skill,Sorcerer_AttackGround
62976,0,0,0,Char2_6_3,Skill,Sorcerer_Obey
47616,0,0,0,Char2_7_1,Skill,Linker_Unbind
48128,0,0,0,Char2_7_2,Skill,Linker_Physicallink
48640,0,0,0,Char2_7_3,Skill,Linker_JointPenalty
49152,0,0,0,Char2_7_4,Skill,Linker_HangmansKnot
49664,0,0,0,Char2_7_5,Skill,Linker_SpiritualChain
50176,0,0,0,Char2_7_6,Skill,Linker_UmbilicalCord
33280,0,0,0,Char2_8_1,Skill,Chronomancer_Quicken
33792,0,0,0,Char2_8_2,Skill,Chronomancer_Samsara
34304,0,0,0,Char2_8_3,Skill,Chronomancer_Stop
34816,0,0,0,Char2_8_4,Skill,Chronomancer_BackMasking
35328,0,0,0,Char2_8_5,Skill,Chronomancer_Slow
35840,0,0,0,Char2_8_6,Skill,Chronomancer_Haste
18944,0,0,0,Char2_9_1,Skill,Necromancer_GatherCorpse
19456,0,0,0,Char2_9_2,Skill,Necromancer_CreateShoggoth
19968,0,0,0,Char2_9_3,Skill,Necromancer_FleshCannon
20480,0,0,0,Char2_9_4,Skill,Necromancer_FleshHoop
4608,0,0,0,Char2_10_1,Skill,Thaumaturge_SwellLeftArm
5120,0,0,0,Char2_10_2,Skill,Thaumaturge_ShrinkBody
5632,0,0,0,Char2_10_3,Skill,Thaumaturge_SwellBody
6144,0,0,0,Char2_10_4,Skill,Thaumaturge_Transpose
6656,0,0,0,Char2_10_5,Skill,Thaumaturge_Reversi
55808,0,0,0,Char2_11_1,Skill,Elementalist_Electrocute
56320,0,0,0,Char2_11_2,Skill,Elementalist_StoneCurse
56832,0,0,0,Char2_11_3,Skill,Elementalist_Hail
57344,0,0,0,Char2_11_4,Skill,Elementalist_Prominence
57856,0,0,0,Char2_11_5,Skill,Elementalist_Meteor
10752,0,0,0,Char3_1_1,Skill,Archer_SwiftStep
11264,0,0,0,Char3_1_2,Skill,Archer_Multishot
11776,0,0,0,Char3_1_3,Skill,Archer_Fulldraw
12288,0,0,0,Char3_1_4,Skill,Archer_Kneelingshot
12800,0,0,0,Char3_1_5,Skill,Archer_ObliqueShot
61952,0,0,0,Char3_2_1,Skill,Hunter_Coursing
62464,0,0,0,Char3_2_2,Skill,Hunter_Retrieve
62976,0,0,0,Char3_2_3,Skill,Hunter_Snatching
63488,0,0,0,Char3_2_4,Skill,Hunter_Praise
64000,0,0,0,Char3_2_5,Skill,Hunter_Pointing
64512,0,0,0,Char3_2_6,Skill,Hunter_Hounding
47616,0,0,0,Char3_3_1,Skill,QuarrelShooter_DeployPavise
48128,0,0,0,Char3_3_2,Skill,QuarrelShooter_ScatterCaltrop
48640,0,0,0,Char3_3_3,Skill,QuarrelShooter_StonePicking
49152,0,0,0,Char3_3_4,Skill,QuarrelShooter_StoneShot
49664,0,0,0,Char3_3_5,Skill,QuarrelShooter_RapidFire
33280,0,0,0,Char3_4_1,Skill,Ranger_Barrage
33792,0,0,0,Char3_4_2,Skill,Ranger_HighAnchoring
34304,0,0,0,Char3_4_3,Skill,Ranger_CriticalShot
34816,0,0,0,Char3_4_4,Skill,Ranger_SteadyAim
35840,0,0,0,Char3_4_5,Skill,Ranger_TimeBombArrow
36352,0,0,0,Char3_4_6,Skill,Ranger_SpiralArrow
36864,0,0,0,Char3_4_7,Skill,Ranger_BounceShot
18944,0,0,0,Char3_5_1,Skill,Sapper_BroomTrap
19456,0,0,0,Char3_5_2,Skill,Sapper_Claymore
19968,0,0,0,Char3_5_3,Skill,Sapper_PunjiStake
20480,0,0,0,Char3_5_4,Skill,Sapper_DetonateTraps
4608,0,0,0,Char3_6_1,Skill,Wugushi_Detoxify
5120,0,0,0,Char3_6_2,Skill,Wugushi_NeedleBlow
5632,0,0,0,Char3_6_3,Skill,Wugushi_Bewitch
6144,0,0,0,Char3_6_4,Skill,Wugushi_WugongGu
6656,0,0,0,Char3_6_5,Skill,Wugushi_ThrowGuPot
55808,0,0,0,Char3_7_1,Skill,Archer_SaberAries
56320,0,0,0,Char3_7_2,Skill,Archer_SaberBash
56832,0,0,0,Char3_7_3,Skill,Archer_CavalryCharge
57344,0,0,0,Char3_7_4,Skill,Archer_HorseTackle
41472,0,0,0,Char3_8_1,Skill,Scout_Camouflage
41984,0,0,0,Char3_8_2,Skill,Scout_FluFlu
43520,0,0,0,Char3_8_3,Skill,Scout_FlareShot
44544,0,0,0,Char3_8_4,Skill,Scout_Cloaking
45056,0,0,0,Char3_8_5,Skill,Scout_Undistance
27136,0,0,0,Char3_9_1,Skill,Rogue_SneakHit
27648,0,0,0,Char3_9_2,Skill,Rogue_Feint
28160,0,0,0,Char3_9_3,Skill,Rogue_Burrow
28672,0,0,0,Char3_9_4,Skill,Rogue_BrandishBow
14848,0,0,0,Char3_10_5,Skill,Archer_Weakening
15360,0,0,0,Char3_10_6,Skill,Archer_Caracole
15872,0,0,0,Char3_10_7,Skill,Archer_Limacon
64000,0,0,0,Char3_11_1,Skill,Fletcher_BroadHead
64512,0,0,0,Char3_11_2,Skill,Fletcher_BodkinPoint
65024,0,0,0,Char3_11_3,Skill,Fletcher_BarbedArrow
0,0,0,0,Char3_11_4,Skill,Fletcher_CrossFire
42240,0,0,0,Char4_1_1,Skill,Cleric_Heal
42496,0,0,0,Char4_1_2,Skill,Cleric_Cure
42752,0,0,0,Char4_1_3,Skill,Cleric_SafetyZone
43008,0,0,0,Char4_1_4,Skill,Cleric_DeprotectedZone
43264,0,0,0,Char4_1_5,Skill,Cleric_DivineMight
2304,0,0,0,Char4_2_1,Skill,Priest_Aspersion
2560,0,0,0,Char4_2_2,Skill,Priest_Monstrance
2816,0,0,0,Char4_2_3,Skill,Priest_Blessing
3072,0,0,0,Char4_2_4,Skill,Priest_Resurrection
3328,0,0,0,Char4_2_5,Skill,Priest_Sacrament
27904,0,0,0,Char4_3_1,Skill,Kriwi_Aukuras
28160,0,0,0,Char4_3_2,Skill,Kriwi_Zalciai
28416,0,0,0,Char4_3_3,Skill,Kriwi_Daino
28672,0,0,0,Char4_3_4,Skill,Kriwi_Zaibas
28928,0,0,0,Char4_3_5,Skill,Kriwi_DivineStigma
29184,0,0,0,Char4_3_6,Skill,Kriwi_Melstis
53504,0,0,0,Char4_4_1,Skill,Bokor_Hexing
53760,0,0,0,Char4_4_2,Skill,Bokor_Effigy
54016,0,0,0,Char4_4_3,Skill,Bokor_Tetmamakla
54272,0,0,0,Char4_4_4,Skill,Bokor_Zombify
54528,0,0,0,Char4_4_5,Skill,Bokor_Mackangdal
54784,0,0,0,Char4_4_6,Skill,Bokor_BwaKayiman
55040,0,0,0,Char4_4_7,Skill,Bokor_Samdiveve
55296,0,0,0,Char4_4_8,Skill,Bokor_Ogouveve
55552,0,0,0,Char4_4_9,Skill,Bokor_Damballa
13568,0,0,0,Char4_5_1,Skill,Druid_Telepath
13824,0,0,0,Char4_5_2,Skill,Druid_ShapeShifting
14080,0,0,0,Char4_5_3,Skill,Druid_Transform
14336,0,0,0,Char4_5_4,Skill,Druid_Carnivory
39168,0,0,0,Char4_6_1,Skill,Sadhu_OutofBody
39424,0,0,0,Char4_6_2,Skill,Sadhu_Prakriti
39680,0,0,0,Char4_6_3,Skill,Sadhu_AstralBodyExplosion
39936,0,0,0,Char4_6_4,Skill,Sadhu_VashitaSiddhi
40192,0,0,0,Char4_6_5,Skill,Sadhu_Possession
40448,0,0,0,Char4_6_6,Skill,Sadhu_TransmitPrana
64768,0,0,0,Char4_7_1,Skill,Dievdirbys_CarveVakarine
65024,0,0,0,Char4_7_2,Skill,Dievdirbys_CarveZemina
65280,0,0,0,Char4_7_3,Skill,Dievdirbys_CarveLaima
0,0,0,0,Char4_7_4,Skill,Dievdirbys_Carve
256,0,0,0,Char4_7_5,Skill,Dievdirbys_CarveOwl
512,0,0,0,Char4_7_6,Skill,Dievdirbys_CarveAustrasKoks
24832,0,0,0,Char4_8_1,Skill,Oracle_CallOfDeities
25088,0,0,0,Char4_8_2,Skill,Oracle_Forecast
25344,0,0,0,Char4_8_3,Skill,Oracle_Reborn
25600,0,0,0,Char4_8_4,Skill,Oracle_Clairvoyance
50432,0,0,0,Char4_9_1,Skill,Monk_IronSkin
50688,0,0,0,Char4_9_2,Skill,Monk_EnergyBlast
50944,0,0,0,Char4_9_3,Skill,Monk_DoublePunch
51200,0,0,0,Char4_9_4,Skill,Monk_PalmStrike
10496,0,0,0,Char4_10_1,Skill,Pardoner_SignDispeller
10752,0,0,0,Char4_10_2,Skill,Pardoner_Simony
11008,0,0,0,Char4_10_3,Skill,Pardoner_CraftBooster
11264,0,0,0,Char4_10_4,Skill,Pardoner_SpellShop
36096,0,0,0,Char4_11_1,Skill,Paladin_Smite
36352,0,0,0,Char4_11_2,Skill,Paladin_Restoration
36608,0,0,0,Char4_11_3,Skill,Paladin_Conversion
36864,0,0,0,Char4_11_4,Skill,Paladin_ResistElements
37120,0,0,0,Char4_11_5,Skill,Paladin_TurnUndead
37376,0,0,0,Char4_11_6,Skill,Paladin_Barrier
