ClassID,Circle_1,Circle_2,Circle_3,Circle_4,Circle_5,Circle_6,Circle_7,Circle_8
0,61935,11083,59017,44800,27892,46377,43489,52052
0,61935,53248,5147,12928,11410,40751,45669,36189
0,61935,28672,15955,45952,59977,34745,47547,20325
0,61935,2891,25906,12800,42520,28358,49122,4462
0,61935,41442,34998,44544,24576,21592,50394,54134
0,61935,13252,43233,10112,6144,14445,51363,38271
0,61935,49393,50610,40576,52760,6919,52029,22407
0,61935,18793,57130,4864,33353,64548,52392,6544
0,61935,52525,62791,34048,13458,56261,52453,56216
0,61935,19516,2059,62592,58612,47593,52211,40353
0,61935,50839,6005,24960,37742,38546,51666,24489
0,61935,15420,9093,52224,16384,29119,50818,8626
0,61935,44333,11323,13312,60075,19311,49667,58298
0,61935,6505,12695,39296,37742,9123,48213,42435
0,61935,33009,13210,64640,14921,64091,46457,26571
0,61935,58308,12867,23808,57149,53143,22199,10708
0,61935,16866,11666,47872,33353,41815,21018,60380
0,61935,39755,9607,5760,9070,30107,19685,44517
0,61935,61440,6691,28544,49835,18019,18201,28653
0,61935,16384,2917,50688,24576,2775,16566,12790
0,61935,35659,63820,6656,64366,61887,14779,62462
0,61935,53730,58330,27520,38132,55272,12841,46599
0,61935,5060,51983,47744,11410,48468,10751,30735
0,61935,20721,44777,1792,49737,41473,8510,14872
0,61935,35177,36714,20736,22040,34289,6118,64545
0,61935,48429,27793,39040,59392,26914,3574,48681
0,61935,60476,18014,56704,30720,19349,878,32818
0,61935,5783,7377,8192,33548,11594,63567,16954
0,61935,15420,61419,24576,18725,3649,60569,1091
0,61935,23853,49066,40320,3657,61050,57420,50763
0,61935,31081,35856,55424,53882,52725,54119,34900
0,61935,37105,21788,4352,38327,44210,50666,19036
0,61935,41924,6862,18176,22528,35505,47062,3173
0,61935,45538,56615,31360,6485,26610,43307,40154
0,61935,47947,39974,43904,55735,17524,39400,8427
0,61935,49152,22474,55808,39205,8249,35342,42237
0,61935,49152,4117,1536,22430,64320,31133,10510
0,61935,49152,50439,12160,5413,54664,26772,44319
0,61935,49152,30366,22144,53687,44818,22259,12592
0,61935,49152,9436,31488,36181,34783,17595,46401
0,61935,49152,53184,40192,18432,24557,12780,14674
0,61935,49152,30538,48256,439,14141,7813,48483
0,61935,49152,7034,55680,47738,3535,2695,16756
0,61935,49152,48208,31232,29257,58275,62962,50565
0,61935,49152,22989,1536,10533,47289,57541,18838
0,61935,49152,62448,37056,57100,36113,51968,52647
0,61935,49152,35513,6720,37888,24747,46245,20920
0,61935,49152,7720,41600,18432,13191,40369,54729
0,61935,49152,44606,10624,64268,1445,34343,23002
0,61935,49152,15097,44864,44325,55044,28165,56811
0,61935,49152,50267,13248,24137,42918,21835,25084
0,61935,49152,19043,46848,3706,30601,15354,58893
0,61935,49152,52497,14592,48567,18095,8722,27166
0,61935,49152,19558,47552,27648,5398,1938,60975
0,61935,49152,51297,14656,6485,58047,60539,29248
0,61935,49152,16641,46976,50615,44970,53452,63057
0,61935,49152,46664,13440,28965,31704,46214,31330
0,61935,49152,10294,45120,7070,18247,38825,65139
0,61935,49152,38601,10944,50469,4600,31284,33412
0,61935,49152,515,41984,28087,56299,23592,1685
0,61935,49152,27107,7168,5461,42271,15748,35495
0,61935,49152,52841,37568,48128,28054,7753,3768
0,61935,49152,12181,2112,25015,13647,65142,37577
0,61935,49152,36199,31872,1658,64586,56844,5850
0,61935,49152,59360,61312,43593,49798,48395,39659
0,61935,49152,16127,24896,19749,34821,39794,7932
0,61935,49152,37572,53696,61196,19653,31042,41741
0,61935,49152,58159,16640,36864,4296,22138,10014
0,61935,49152,12352,44800,12288,54284,13083,43823
0,61935,49152,31224,7104,53004,38546,3876,12096
0,61935,49152,49238,34624,27941,22618,60054,45905
0,61935,49152,858,61824,2633,6500,50545,14178
0,61935,49152,17156,23168,42618,55728,40884,47987
0,61935,49152,32596,49728,16823,39230,31072,16260
0,61935,49152,47179,10432,56320,22542,21108,50069
0,61935,49152,60904,36352,30037,5664,10993,18342
0,61935,49152,8235,61952,3511,54132,727,52151
0,61935,49152,20244,21696,42277,36874,55845,20424
0,61935,49152,31396,46656,15262,19425,45276,54233
0,61935,49152,41689,5760,53541,1787,34555,22506
0,61935,49152,51125,30080,26039,49494,23683,56315
0,61935,49152,59703,54080,63829,31476,12659,24588
0,61935,49152,1887,12224,35840,13267,1484,58397
0,61935,49152,8750,35584,7607,60404,55693,26670
0,61935,49152,14754,58624,44666,41815,44216,60480
0,61935,49152,19901,15808,15945,23036,32586,28753
0,61935,49152,24190,38208,52517,4067,20806,62562
0,61935,49152,27621,60288,23308,50444,8873,30835
0,61935,49152,30195,16512,59392,31095,62326,64644
0,61935,49152,31910,37952,29696,11556,50091,32917
0,61935,49152,32768,59072,65292,57363,37704,1190
0,61935,49152,32768,14336,35109,37444,25167,34999
0,61935,49152,32768,34816,4681,17334,12477,3272
0,61935,49152,32768,54976,39546,62571,65173,37081
0,61935,49152,32768,9280,8631,42081,52180,5354
0,61935,49152,32768,28800,43008,21402,39037,39163
0,61935,49152,32768,48000,11605,532,25742,7436
0,61935,49152,32768,1344,45495,45008,12296,41245
0,61935,49152,32768,19904,13605,23759,64234,9518
0,61935,49152,32768,38144,47006,2319,50485,43327
0,61935,49152,32768,56064,14629,46225,36584,11600
0,61935,49152,32768,8128,47543,24405,22532,45409
0,61935,49152,32768,25408,14677,2395,8328,13682
0,61935,49152,32768,42368,47104,45731,59509,47491
0,61935,49152,32768,59008,13751,23341,45003,15764
0,61935,49152,32768,9792,45690,760,30345,49573
0,61935,49152,32768,25792,11849,43526,15536,17846
0,61935,49152,32768,41472,43301,20566,575,51655
0,61935,49152,32768,56832,8972,62951,50999,19928
0,61935,49152,32768,6336,39936,39611,35736,53738
0,61935,49152,32768,21056,5120,16080,20321,22011
0,61935,49152,32768,35456,35596,57895,4755,55820
0,61935,49152,32768,49536,293,33984,54573,24093
0,61935,49152,32768,63296,30281,9884,38704,57902
0,61935,49152,32768,11200,60026,51129,22683,26175
0,61935,49152,32768,24320,23991,26648,6511,59984
0,61935,49152,32768,37120,53248,1977,55724,28257
0,61935,49152,32768,49600,16725,42652,39249,62066
0,61935,49152,32768,61760,45495,17600,22623,30339
0,61935,49152,32768,8064,8485,57895,5845,64148
0,61935,49152,32768,19584,36766,32464,54452,32421
0,61935,49152,32768,30784,64805,6843,37371,694
0,61935,49152,32768,41664,27063,46567,20139,34503
0,61935,49152,32768,52224,54613,20566,2756,2776
0,61935,49152,32768,62464,16384,59910,50757,36585
0,61935,49152,32768,6848,43447,33528,33071,4858
0,61935,49152,32768,16448,4730,6957,15233,38667
0,61935,49152,32768,25728,31305,45731,62780,6940
0,61935,49152,32768,34688,57637,18779,44640,40749
0,61935,49152,32768,43328,18188,57173,26348,9022
0,61935,49152,32768,51648,44032,29841,7904,42831
0,61935,49152,32768,59648,4096,2319,54846,11104
0,61935,49152,32768,1792,29452,40143,36099,44913
0,61935,49152,32768,9152,54565,12240,17202,13187
0,61935,49152,32768,16192,13897,49684,63689,46996
0,61935,49152,32768,22912,38522,21402,44488,15269
0,61935,49152,32768,29312,62903,58465,25136,49078
0,61935,49152,32768,35392,21504,29803,5633,17351
0,61935,49152,32768,41152,45397,950,51514,51160
0,61935,49152,32768,46592,3511,37444,31708,19433
0,61935,49152,32768,51712,26917,8211,11750,53242
0,61935,49152,32768,56512,50078,44324,57177,21515
0,61935,49152,32768,60992,7461,14711,36917,55324
0,61935,49152,32768,65152,30135,50444,16505,23597
0,61935,49152,32768,3456,52565,20451,61478,57406
0,61935,49152,32768,6976,9216,55804,40763,25679
0,61935,49152,32768,10176,31159,25431,19897,59488
0,61935,49152,32768,13056,52858,60404,64415,27761
0,61935,49152,32768,15616,8777,29651,43246,61570
0,61935,49152,32768,17856,29989,64244,21926,29843
0,61935,49152,32768,19776,50956,33110,454,63652
0,61935,49152,32768,21376,6144,1787,44367,31925
0,61935,49152,32768,22656,26624,35809,22592,198
0,61935,49152,32768,23616,46860,4106,666,34007
0,61935,49152,32768,24256,1317,37748,44125,2280
0,61935,49152,32768,24576,21065,5664,21896,36089
0,61935,49152,32768,24576,40570,38926,65051,4362
32768,61935,49152,32768,24576,59831,6462,42520,38171
0,61935,49152,32768,24576,13312,39344,19836,6445
32768,61935,49152,32768,24576,32085,6500,62538,40254
0,61935,49152,32768,24576,50615,39002,39552,8527
32768,61935,49152,32768,24576,3365,5778,16414,42336
0,61935,49152,32768,24576,21406,37900,58661,10609
32768,61935,49152,32768,24576,39205,4296,35221,44418
0,61935,49152,32768,24576,56759,36037,11629,12691
32768,61935,49152,32768,24576,8533,2053,53422,46500
0,61935,49152,32768,24576,25600,33414,29528,14773
32768,61935,49152,32768,24576,42423,64586,5482,48582
0,61935,49152,32768,24576,59002,30031,46820,16855
32768,61935,49152,32768,24576,9801,60822,22471,50664
0,61935,49152,32768,24576,25893,25887,63507,18937
32768,61935,49152,32768,24576,41740,56299,38855,52746
0,61935,49152,32768,24576,57344,20984,14052,21019
32768,61935,49152,32768,24576,7168,51015,54634,54828
0,61935,49152,32768,24576,22284,15320,29528,23101
32768,61935,49152,32768,24576,37157,44970,2135,56910
0,61935,49152,32768,24576,51785,8895,22199,25183
32768,61935,49152,32768,24576,634,38166,42187,58992
0,61935,49152,32768,24576,14775,1711,62099,27265
32768,61935,49152,32768,24576,28672,30601,16399,61074
0,61935,49152,32768,24576,42325,59302,36160,29347
32768,61935,49152,32768,24576,55735,22276,55845,63156
0,61935,49152,32768,24576,3365,50597,9918,31430
32768,61935,49152,32768,24576,16286,13191,29452,65239
0,61935,49152,32768,24576,28965,41131,48910,33512
32768,61935,49152,32768,24576,41399,3345,2756,1785
0,61935,49152,32768,24576,53589,30905,22062,35594
32768,61935,49152,32768,24576,0,58275,41293,3867
0,61935,49152,32768,24576,11703,19919,60448,37676
32768,61935,49152,32768,24576,23162,46909,13992,5949
0,61935,49152,32768,24576,34377,8173,32995,39758
32768,61935,49152,32768,24576,45349,34783,51923,8031
0,61935,49152,32768,24576,56076,61202,5239,41840
32768,61935,49152,32768,24576,1024,21896,24016,10113
0,61935,49152,32768,24576,11264,47936,42717,43922
32768,61935,49152,32768,24576,21260,8249,61342,12195
0,61935,49152,32768,24576,31013,33908,14355,46004
32768,61935,49152,32768,24576,40521,59378,32829,14277
0,61935,49152,32768,24576,49786,19121,51226,48086
32768,61935,49152,32768,24576,58807,44210,4013,16359
0,61935,49152,32768,24576,2048,3573,22259,50168
32768,61935,49152,32768,24576,10581,28282,40430,18441
0,61935,49152,32768,24576,18871,52801,58525,52250
32768,61935,49152,32768,24576,26917,11594,11008,20523
0,61935,49152,32768,24576,34718,35733,28952,54332
32768,61935,49152,32768,24576,42277,59682,46820,22605
0,61935,49152,32768,24576,49591,17905,64612,56414
32768,61935,49152,32768,24576,56661,41473,16793,24688
0,61935,49152,32768,24576,63488,64852,34434,58497
32768,61935,49152,32768,24576,4535,22504,51999,26770
0,61935,49152,32768,24576,10874,45503,3952,60579
32768,61935,49152,32768,24576,16969,2775,21366,28852
0,61935,49152,32768,24576,22821,25393,38704,62661
32768,61935,49152,32768,24576,28428,47822,55966,30934
0,61935,49152,32768,24576,33792,4524,7617,64743
32768,61935,49152,32768,24576,38912,26572,24727,33016
0,61935,49152,32768,24576,43788,48430,41763,1289
32768,61935,49152,32768,24576,48421,4562,58722,35098
0,61935,49152,32768,24576,52809,26040,10070,3371
32768,61935,49152,32768,24576,56954,47327,26878,37180
0,61935,49152,32768,24576,60855,2889,43610,5453
32768,61935,49152,32768,24576,64512,23797,60266,39262
0,61935,49152,32768,24576,2389,44514,11311,7535
32768,61935,49152,32768,24576,5559,65042,27816,41344
0,61935,49152,32768,24576,8485,19843,44246,9617
32768,61935,49152,32768,24576,11166,39991,60600,43426
0,61935,49152,32768,24576,13605,59948,11342,11699
32768,61935,49152,32768,24576,15799,14179,27544,45508
0,61935,49152,32768,24576,17749,33756,43670,13781
32768,61935,49152,32768,24576,19456,53143,59721,47590
0,61935,49152,32768,24576,20919,6804,10161,15863
32768,61935,49152,32768,24576,22138,25811,26060,49673
0,61935,49152,32768,24576,23113,44628,41884,17946
32768,61935,49152,32768,24576,23845,63255,57632,51755
0,61935,49152,32768,24576,24332,16156,7768,20028
32768,61935,49152,32768,24576,24576,34403,23365,53837
0,61935,49152,32768,24576,24576,52459,38886,22110
32768,61935,49152,32768,24576,24576,2395,54331,55919
0,61935,49152,32768,24576,24576,11233,4164,24192
32768,61935,49152,32768,24576,24576,19976,19458,58001
0,61935,49152,32768,24576,24576,28624,34676,26274
32768,61935,49152,32768,24576,24576,37178,49818,60083
0,61935,49152,32768,24576,24576,45636,64885,28356
32768,61935,49152,32768,24576,24576,53999,14340,62165
0,61935,49152,32768,24576,24576,62267,29255,30438
32768,61935,49152,32768,24576,24576,4904,44094,64247
0,61935,49152,32768,24576,24576,12982,58858,32520
32768,61935,49152,32768,24576,24576,20965,8010,793
0,61935,49152,32768,24576,24576,28853,22623,34602
32768,61935,49152,32768,24576,24576,36645,37159,2875
0,61935,49152,32768,24576,24576,44343,51620,36684
32768,61935,49152,32768,24576,24576,51946,469,4957
0,61935,49152,32768,24576,24576,59454,14779,38766
32768,61935,49152,32768,24576,24576,1330,29013,7039
0,61935,49152,32768,24576,24576,8648,43171,40848
32768,61935,49152,32768,24576,24576,15871,57253,9122
0,61935,49152,32768,24576,24576,22998,5724,42931
32768,61935,49152,32768,24576,24576,30031,19655,11204
0,61935,49152,32768,24576,24576,36969,33510,45013
32768,61935,49152,32768,24576,24576,43811,47289,13286
0,61935,49152,32768,24576,24576,50559,60993,47095
32768,61935,49152,32768,24576,24576,57211,9085,15368
0,61935,49152,32768,24576,24576,63768,22638,49177
32768,61935,49152,32768,24576,24576,4695,36114,17450
0,61935,49152,32768,24576,24576,11062,49515,51259
32768,61935,49152,32768,24576,24576,17334,62841,19532
0,61935,49152,32768,24576,24576,23512,10554,53341
32768,61935,49152,32768,24576,24576,29594,23728,21614
0,61935,49152,32768,24576,24576,35581,36826,55423
32768,61935,49152,32768,24576,24576,41473,49849,23696
0,61935,49152,32768,24576,24576,47270,62795,57505
32768,61935,49152,32768,24576,24576,52972,10130,25778
0,61935,49152,32768,24576,24576,58579,22925,59587
32768,61935,49152,32768,24576,24576,64091,35645,27860
0,61935,49152,32768,24576,24576,3972,48289,61669
32768,61935,49152,32768,24576,24576,9294,60857,29942
0,61935,49152,32768,24576,24576,14521,7813,63751
32768,61935,49152,32768,24576,24576,19653,20230,32024
0,61935,49152,32768,24576,24576,24690,32571,297
32768,61935,49152,32768,24576,24576,29632,44836,34106
0,61935,49152,32768,24576,24576,34479,57026,2380
32768,61935,49152,32768,24576,24576,39230,3604,36189
0,61935,49152,32768,24576,24576,43887,15642,4462
32768,61935,49152,32768,24576,24576,48449,27604,38271
0,61935,49152,32768,24576,24576,52915,39491,6544
32768,61935,49152,32768,24576,24576,57287,51302,40353
0,61935,49152,32768,24576,24576,61564,63038,8626
32768,61935,49152,32768,24576,24576,209,9161,42435
0,61935,49152,32768,24576,24576,4296,20745,10708
32768,61935,49152,32768,24576,24576,8287,32253,44517
0,61935,49152,32768,24576,24576,12183,43686,12790
32768,61935,49152,32768,24576,24576,15985,55042,46599
0,61935,49152,32768,24576,24576,19691,787,14872
32768,61935,49152,32768,24576,24576,23303,11993,48681
0,61935,49152,32768,24576,24576,26819,23122,16954
32768,61935,49152,32768,24576,24576,30240,34176,50763
0,61935,49152,32768,24576,24576,33566,45154,19036
32768,61935,49152,32768,24576,24576,36797,56057,40154
0,61935,49152,32768,24576,24576,39934,1348,42237
32768,61935,49152,32768,24576,24576,42975,12099,44319
0,61935,49152,32768,24576,24576,45921,22774,46401
32768,61935,49152,32768,24576,24576,48772,33374,48483
0,61935,49152,32768,24576,24576,51528,43898,50565
32768,61935,49152,32768,24576,24576,54189,54346,52647
0,61935,49152,32768,24576,24576,56755,64718,54729
32768,61935,49152,32768,24576,24576,59226,9479,56811
0,61935,49152,32768,24576,24576,61602,19700,58893
32768,61935,49152,32768,24576,24576,63882,29846,60975
0,61935,49152,32768,24576,24576,532,39915,63057
32768,61935,49152,32768,24576,24576,2623,49909,65139
0,61935,49152,32768,24576,24576,4619,59827,1685
32768,61935,49152,32768,24576,24576,6519,4134,3768
0,61935,49152,32768,24576,24576,8325,13901,5850
32768,61935,49152,32768,24576,24576,10036,23592,7932
0,61935,49152,32768,24576,24576,11651,33207,10014
32768,61935,49152,32768,24576,24576,13172,42747,12096
0,61935,49152,32768,24576,24576,14597,52211,14178
32768,61935,49152,32768,24576,24576,15928,61599,16260
0,61935,49152,32768,24576,24576,17163,5376,18342
32768,61935,49152,32768,24576,24576,18304,14612,20424
0,61935,49152,32768,24576,24576,19349,23773,22506
32768,61935,49152,32768,24576,24576,20299,32859,24588
0,61935,49152,32768,24576,24576,21155,41869,26670
32768,61935,49152,32768,24576,24576,21915,50803,28753
0,61935,49152,32768,24576,24576,22580,59661,30835
32768,61935,49152,32768,24576,24576,23150,2907,32917
0,61935,49152,32768,24576,24576,23626,11614,34999
32768,61935,49152,32768,24576,24576,24006,20245,37081
0,61935,49152,32768,24576,24576,24291,28801,39163
32768,61935,49152,32768,24576,24576,24481,37280,41245
0,61935,49152,32768,24576,24576,24576,45684,43327
32768,61935,49152,32768,24576,24576,24576,54013,45409
0,61935,49152,32768,24576,24576,24576,62265,47491
32768,61935,49152,32768,24576,24576,24576,4906,49573
0,61935,49152,32768,24576,24576,24576,13007,51655
32768,61935,49152,32768,24576,24576,24576,21033,53738
0,61935,49152,32768,24576,24576,24576,28982,55820
32768,61935,49152,32768,24576,24576,24576,36856,57902
0,61935,49152,32768,24576,24576,24576,44655,59984
32768,61935,49152,32768,24576,24576,24576,52377,62066
0,61935,49152,32768,24576,24576,24576,60024,64148
32768,61935,49152,32768,24576,24576,24576,2059,694
0,61935,49152,32768,24576,24576,24576,9555,2776
32768,61935,49152,32768,24576,24576,24576,16975,4858
0,61935,49152,32768,24576,24576,24576,24319,6940
32768,61935,49152,32768,24576,24576,24576,31587,9022
0,61935,49152,32768,24576,24576,24576,38780,11104
32768,61935,49152,32768,24576,24576,24576,45896,13187
0,61935,49152,32768,24576,24576,24576,52938,15269
32768,61935,49152,32768,24576,24576,24576,59903,17351
0,61935,49152,32768,24576,24576,24576,1257,19433
32768,61935,49152,32768,24576,24576,24576,8071,21515
0,61935,49152,32768,24576,24576,24576,14809,23597
32768,61935,49152,32768,24576,24576,24576,21472,25679
0,61935,49152,32768,24576,24576,24576,28059,27761
32768,61935,49152,32768,24576,24576,24576,34570,29843
0,61935,49152,32768,24576,24576,24576,41005,31925
32768,61935,49152,32768,24576,24576,24576,47365,34007
0,61935,49152,32768,24576,24576,24576,53649,36089
32768,61935,49152,32768,24576,24576,24576,59858,38171
0,61935,49152,32768,24576,24576,24576,454,40254
32768,61935,49152,32768,24576,24576,24576,6511,42336
0,61935,49152,32768,24576,24576,24576,12492,44418
32768,61935,49152,32768,24576,24576,24576,18398,46500
0,61935,49152,32768,24576,24576,24576,24228,48582
32768,61935,49152,32768,24576,24576,24576,29982,50664
0,61935,49152,32768,24576,24576,24576,35660,52746
32768,61935,49152,32768,24576,24576,24576,41263,54828
0,61935,49152,32768,24576,24576,24576,46790,56910
32768,61935,49152,32768,24576,24576,24576,52241,58992
0,61935,49152,32768,24576,24576,24576,57617,61074
32768,61935,49152,32768,24576,24576,24576,62916,63156
0,61935,49152,32768,24576,24576,24576,2604,65239
32768,61935,49152,32768,24576,24576,24576,7753,1785
0,61935,49152,32768,24576,24576,24576,12826,3867
32768,61935,49152,32768,24576,24576,24576,17823,5949
0,61935,49152,32768,24576,24576,24576,22744,8031
32768,61935,49152,32768,24576,24576,24576,27589,10113
0,61935,49152,32768,24576,24576,24576,32359,12195
32768,61935,49152,32768,24576,24576,24576,37053,14277
0,61935,49152,32768,24576,24576,24576,41672,16359
32768,61935,49152,32768,24576,24576,24576,46214,18441
0,61935,49152,32768,24576,24576,24576,50681,20523
32768,61935,49152,32768,24576,24576,24576,55073,22605
0,61935,49152,32768,24576,24576,24576,59388,24688
32768,61935,49152,32768,24576,24576,24576,63628,26770
0,61935,49152,32768,24576,24576,24576,2256,28852
32768,61935,49152,32768,24576,24576,24576,6345,30934
0,61935,49152,32768,24576,24576,24576,10357,33016
32768,61935,49152,32768,24576,24576,24576,14294,35098
0,61935,49152,32768,24576,24576,24576,18156,37180
32768,61935,49152,32768,24576,24576,24576,21941,39262
0,61935,49152,32768,24576,24576,24576,25651,41344
32768,61935,49152,32768,24576,24576,24576,29285,43426
0,61935,49152,32768,24576,24576,24576,32844,45508
32768,61935,49152,32768,24576,24576,24576,36326,47590
0,61935,49152,32768,24576,24576,24576,39733,49673
32768,61935,49152,32768,24576,24576,24576,43065,51755
0,61935,49152,32768,24576,24576,24576,46320,53837
32768,61935,49152,32768,24576,24576,24576,49500,55919
0,61935,49152,32768,24576,24576,24576,52604,58001
32768,61935,49152,32768,24576,24576,24576,55633,60083
0,61935,49152,32768,24576,24576,24576,58586,62165
32768,61935,49152,32768,24576,24576,24576,61463,64247
0,61935,49152,32768,24576,24576,24576,64264,793
32768,61935,49152,32768,24576,24576,24576,1454,2875
0,61935,49152,32768,24576,24576,24576,4104,4957
32768,61935,49152,32768,24576,24576,24576,6678,7039
0,61935,49152,32768,24576,24576,24576,9176,9122
32768,61935,49152,32768,24576,24576,24576,11599,11204
0,61935,49152,32768,24576,24576,24576,13946,13286
32768,61935,49152,32768,24576,24576,24576,16217,15368
0,61935,49152,32768,24576,24576,24576,18413,17450
16384,61935,49152,32768,24576,24576,24576,20533,19532
32768,61935,49152,32768,24576,24576,24576,22577,21614
49152,61935,49152,32768,24576,24576,24576,24546,23696
0,61935,49152,32768,24576,24576,24576,26439,25778
16384,61935,49152,32768,24576,24576,24576,28256,27860
32768,61935,49152,32768,24576,24576,24576,29997,29942
49152,61935,49152,32768,24576,24576,24576,31663,32024
0,61935,49152,32768,24576,24576,24576,33253,34106
16384,61935,49152,32768,24576,24576,24576,34767,36189
32768,61935,49152,32768,24576,24576,24576,36205,38271
49152,61935,49152,32768,24576,24576,24576,37568,40353
0,61935,49152,32768,24576,24576,24576,38855,42435
16384,61935,49152,32768,24576,24576,24576,40067,44517
32768,61935,49152,32768,24576,24576,24576,41202,46599
49152,61935,49152,32768,24576,24576,24576,42262,48681
0,61935,49152,32768,24576,24576,24576,43246,50763
16384,61935,49152,32768,24576,24576,24576,44155,40154
32768,61935,49152,32768,24576,24576,24576,44988,44319
